skill,purpose,status,last_reviewed,review_doc,severity,decision,notes
iconography,"Icon systems, SVG optimization, icon accessibility, consistency. [EXPLICIT]",pending,,,,,
ideate-component,"Brainstorm individual plugin components (skill, agent, command, hook) for existing or planned plugins. [EXPLICIT]",pending,,,,,
ideate-plugin,"Generate a structured plugin concept brief from a user idea. Trigger: ideate plugin, brainstorm plugin, plugin concept, new plugin idea, create plugin concept. [EXPLICIT] Researches existing plugins for overlap, proposes movement structure and component counts. [EXPLICIT]",pending,,,,,
iic-artifact-analyzer,Non-destructive cross-artifact consistency analysis. 8 detection categories. Health score 0-100. Updates score-history.json. [EXPLICIT],pending,,,,,
iic-bugfix,"Structured bug tracking. Creates bug entries with severity, reproduction steps, and T-B tasks. Links to affected requirements. [EXPLICIT]",pending,,,,,
iic-checklist-generator,"Creates phase-specific QA checklists with pass/fail items linked to FR-XXX, US-X, SC-XXX. Validates readiness before phase transitions. [EXPLICIT]",pending,,,,,
iic-clarify,"Socratic debate for ambiguity reduction. Auto-detects artifact, applies question taxonomy, records answers with traceability to FR/US/T IDs. [EXPLICIT]",pending,,,,,
iic-constitution,"Governance backbone. Loads CONSTITUTION.md, validates all actions against non-negotiable principles. Blocks constitutional violations. [EXPLICIT]",pending,,,,,
iic-core-engine,State machine and next-step guidance. Computes feature stage from artifacts. Suggests next action. Updates context.json. [EXPLICIT],pending,,,,,
iic-implement,Red-green-verify implementation cycle. Verifies hash integrity of .feature files. NEVER modifies test assertions. Enforces coverage. [EXPLICIT],pending,,,,,
iic-plan-generator,"Creates plan-YYYY-MM-DD-{task}.md with decision table (D1-DN), technical approach, Firebase services, and fact-checked viability. [EXPLICIT]",pending,,,,,
iic-specify,"Creates spec.md with FR-XXX functional requirements, US-X user stories, SC-XXX scenarios. Scores quality 0-10. Traceable requirements. [EXPLICIT]",pending,,,,,
iic-task-decomposer,"Decomposes plans into tasks with format [T###] [P?] [US#] Description. Marks parallelizable tasks, tracks dependencies, estimates effort. [EXPLICIT]",pending,,,,,
iic-tasks-to-issues,Converts tasks.md entries to GitHub Issues via gh CLI. Links to spec IDs. Tracks in context.json. [EXPLICIT],pending,,,,,
iic-testify,Generates Gherkin .feature files from spec.md. SHA256 hash-locks assertions BEFORE implementation. Prevents silent requirement drift. [EXPLICIT],pending,,,,,
iikit-00-constitution,"- Create or update a CONSTITUTION.md that defines project governance — establishes coding standards, quality gates, TDD policy, review requirements, and non-negotiable development principles with versioned amendment tracking. Use when defining project rules, setting up coding standards, establishing quality gates, configuring TDD requirements, or creating non-negotiable development principles.",pending,,,,,
iikit-01-specify,"- Create a feature specification from a natural language description — generates user stories with Given/When/Then scenarios, functional requirements (FR-XXX), success criteria, and a quality checklist. Use when starting a new feature, writing a PRD, defining user stories, capturing acceptance criteria, or documenting requirements for a product idea.",pending,,,,,
iikit-02-plan,"- Generate a technical design document from a feature spec — selects frameworks, defines data models, produces API contracts, and creates a dependency-ordered implementation strategy. Use when planning how to build a feature, writing a technical design doc, choosing libraries, defining database schemas, or setting up Tessl tiles for runtime library knowledge.",pending,,,,,
iikit-03-checklist,"- Generate quality checklists that validate requirements completeness, clarity, and consistency — produces scored checklist items linked to specific spec sections (FR-XXX, SC-XXX). Use when reviewing a spec for gaps, doing a requirements review, verifying PRD quality, auditing user stories and acceptance criteria, or gating before implementation.",pending,,,,,
iikit-04-testify,"- Generate Gherkin .feature files from requirements before implementation — produces executable BDD scenarios with traceability tags, computes assertion integrity hashes, and locks acceptance criteria for test-driven development. Use when writing tests first, doing TDD, creating test cases from a spec, locking acceptance criteria, or setting up red-green-refactor with hash-verified assertions.",pending,,,,,
iikit-05-tasks,"- Generate dependency-ordered task breakdown from plan and specification. Use when breaking features into implementable tasks, planning sprints, or creating work items with parallel markers.",pending,,,,,
iikit-06-analyze,"- Validate cross-artifact consistency — checks that every spec requirement traces to tasks, plan tech stack matches task file paths, and constitution principles are satisfied across all artifacts. Use when running a consistency check, verifying requirements traceability, detecting conflicts between design docs, or auditing alignment before implementation begins.",pending,,,,,
iikit-07-implement,"- Execute the implementation plan by coding each task from tasks.md — writes source files, runs tests, verifies assertion integrity, and validates output against constitutional principles. Use when ready to build the feature, start coding, develop from the task list, or resume a partially completed implementation.",pending,,,,,
iikit-08-taskstoissues,"- Convert tasks from tasks.md into GitHub Issues with labels and dependencies. Use when exporting work items to GitHub, setting up project boards, or assigning tasks to team members.",pending,,,,,
iikit-bugfix,"- Report a bug against an existing feature — creates a structured bugs.md record, generates fix tasks in tasks.md, and optionally imports from or creates GitHub issues. Use when fixing a bug, reporting a defect, importing a GitHub issue into the workflow, or triaging an error without running the full specification process.",pending,,,,,
iikit-clarify,"- Resolve ambiguities in any project artifact — auto-detects the most recent artifact (spec, plan, checklist, testify, tasks, or constitution), asks targeted questions with option tables, and writes answers back into the artifact's Clarifications section. Use when requirements are unclear, a plan has trade-off gaps, checklist thresholds feel wrong, test scenarios are imprecise, task dependencies seem off, or constitution principles are vague.",pending,,,,,
iikit-core,"- Initialize an IIKit project, check feature progress, select the active feature, and display the workflow command reference. Use when starting a new project, running init, checking status, switching between features, or looking up available commands and phases.",pending,,,,,
image-optimization,"WebP/AVIF format selection, responsive images with srcset, lazy loading, and Firebase Storage image resize extension",pending,,,,,
incident-response,"Incident playbooks, postmortem templates, severity classification, on-call. [EXPLICIT]",pending,,,,,
indexability-validator,"Scan repository directories for README presence, validate index-driven navigation, flag orphan folders, generate missing READMEs. Constitution XVIII enforcement. [EXPLICIT]",pending,,,,,
infrastructure-architecture,"This skill should be used when the user asks to ""design cloud infrastructure"", ""plan network topology"", ""define HA/DR strategy"", ""set up cloud landing zones"", or ""optimize cloud costs"". [EXPLICIT] Also triggers on mentions of VPC, Kubernetes, serverless, multi-AZ, IAM, reserved instances, chaos testing, or any compute/network/storage platform design. Use this skill even if the user only mentions a single infrastructure concern — the full platform context is always relevant. [EXPLICIT]",pending,,,,,
infrastructure-design,"Designs hosting topology, CDN configuration, DNS setup, SSL/TLS management, and load balancing for web applications. Covers cloud infrastructure patterns for Firebase, GCP, and multi-cloud deployments. [EXPLICIT]",pending,,,,,
input-analysis,"Parse project inputs (RFPs, briefs, emails). Detect contradictions, gaps, ambiguities. Score completeness 0-100. [EXPLICIT]",pending,,,,,
input-analyst,"Pre-processing layer that analyzes raw user input — detecting surface errors, performing root-cause analysis (5 Whys), impact tracing (7 So-Whats), and intent gap analysis — then reformulates into a precise, actionable prompt.",dod-complete,2026-06-05,docs/audits/skills/input-analyst-review.md,P1,completed-assets-deterministic,"Validated on 2026-06-05 with check.sh, validate-skill-dod.py, and validate-skill-scripts.py for input-analyst."
input-sanitization,"Input sanitization with strip-first default using native browser APIs (DOMParser). [EXPLICIT] Context-specific encoding for HTML, URL, CSS, and JS contexts. Dual-layer client + server validation. No external sanitization libraries by default. [EXPLICIT]",pending,,,,,
input-tolerance,"Normalize imperfect input: typos, voice, dyslexia, multilingual, multimodal. Extract intent from noise. [EXPLICIT]",pending,,,,,
integration-architecture,"Third-party + Google API integration patterns. Payment gateways, email services, maps, analytics. [EXPLICIT]",pending,,,,,
integration-testing,"Firebase Emulator Suite integration tests for Firestore rules, Cloud Functions, and Auth flows",pending,,,,,
integrity-chain-validation,"Validate the Intent Integrity Chain end-to-end: Intent → RQL → Plan → ADR → Spec → Tests → Code. Produces traceability matrix, identifies broken links, flags orphaned code without requirements. [EXPLICIT]",pending,,,,,
intelligent-routing,Match user intent to the best domain for Lead agent selection using BM25 + semantic similarity. [EXPLICIT],pending,,,,,
internal-memo,"Executive memo structure, decision briefs, status updates, action items. [EXPLICIT]",pending,,,,,
internationalization,"Implement internationalization (i18n) and localization (l10n) for web applications. [EXPLICIT] Covers translation workflows, RTL layout support, date/number/currency formatting, and locale-aware content delivery. [EXPLICIT]",pending,,,,,
interview-prep,"Triggers on ""prepare for interview"", ""interview prep"", ""preparar entrevista"", ""mock interview"". Builds an interview preparation kit with question banks, STAR frameworks, company research checklists, and follow-up templates. Output: prep document. [EXPLICIT]",pending,,,,,
inventory-management,"Creates and manages basic inventory systems in Google Sheets — product catalog, stock tracking, low-stock alerts, and movement history. [EXPLICIT]",pending,,,,,
invoice-generator,"Triggers on ""create invoice"", ""invoice template"", ""factura"", ""generar factura"". Branded invoice template builder with client info, line items, subtotal/tax/total, payment terms, and bank details placeholder. JM Labs dark brand HTML, bilingual ES/EN, print-optimized. Output: self-contained HTML invoice. [EXPLICIT]",pending,,,,,
javascript-patterns,"Modern JS patterns. ES modules, async/await, Web APIs (Intersection/Resize/Mutation Observer), event delegation, AbortController. [EXPLICIT]",pending,,,,,
jmlabs-corporate-doc,"Triggers on ""create corporate document"", ""make investor deck"", ""build partnership prospectus"", design executive brief"", ""branded HTML report"", ""JM Labs document"", ""make it brand friendly"". Produces self-contained branded HTML corporate documents in JM Labs dark style (navy #122562 · gold #FFD700 · blue #137DC5 · Poppins + Inter). ALWAYS loads brand-config.json before generating. Orchestrates bilingual-doc for ES/EN output.",pending,,,,,
kit-orchestrator,Entry point and mode router. Detects whether the user needs analysis (MAO DNA) or development (SA DNA) and routes to the appropriate agent cluster. [EXPLICIT],pending,,,,,
knowledge-management,"Organizational knowledge capture, searchability, decay prevention. [EXPLICIT]",pending,,,,,
kpi-framework,"KPI design, metric trees, leading/lagging indicators, OKR alignment. [EXPLICIT]",pending,,,,,
landing-page-builder,"High-conversion landing page. Hero, features, testimonials, pricing, CTA, footer sections. SEO optimized. Hostinger deploy. [EXPLICIT]",pending,,,,,
landing-pages,"Triggers on ""landing page"", ""personal brand page"", ""portfolio site"", ""create my web page"", página web personal"", ""create my website"", ""professional web presence"". Creates personal brand landing pages and professional web presence pages — dark-first, bilingual ES/EN, JM Labs brand system. Output: full self-contained HTML file. Argument: person name + page type + optional brief/context.",pending,,,,,
lead-generation,"Lead magnets, gated content, signup optimization, qualification scoring. [EXPLICIT]",pending,,,,,
lighthouse-ci,"Automated Lighthouse audits in CI with performance budgets, accessibility thresholds, and trend tracking. Enforces Constitution quality gate G2. [EXPLICIT]",pending,,,,,
linkedin-optimization,"Triggers on ""optimize my LinkedIn"", ""LinkedIn profile"", ""improve my LinkedIn"", ""mejorar LinkedIn"". Rewrites LinkedIn profile sections using proven frameworks — headline, about, experience, skills, and content plan for SSI improvement. Output: optimized profile text plus content calendar in markdown. [EXPLICIT]",pending,,,,,
linting-formatting,"Configure ESLint, Prettier, and Stylelint for automated code quality enforcement with pre-commit hooks and CI integration. [EXPLICIT]",pending,,,,,
llm-evaluation,"Model output quality assessment, hallucination detection, benchmark suites. [EXPLICIT]",pending,,,,,
localization-guide,"Translation workflows, context for translators, glossaries, RTL support. [EXPLICIT]",pending,,,,,
log-management,"Structured logging, log levels, retention policies, search patterns. [EXPLICIT]",pending,,,,,
market-intelligence,"Triggers on ""market intelligence"", ""market research"", ""geographic analysis"", ""sector analysis"", competitive landscape"", ""research X company"", ""profile on X person"", ""contact points for"". Performs deep market research on companies, public figures, geographic territories, and sectors. Argument: target entity name + research scope (company / person / territory / sector).",pending,,,,,
marketing-context,"Brand positioning, value propositions, and messaging framework for consistent marketing. [EXPLICIT]",pending,,,,,
maturity-assessment,"[EXPLICIT] Capability maturity evaluation using CMMI and custom models, current vs target state scoring, [EXPLICIT] and improvement roadmap generation. Use when the user asks to ""assess maturity"", ""evaluate capability"", [EXPLICIT] create maturity model"", or mentions maturity heatmap, gap analysis, capability assessment, [EXPLICIT] or evolution plan. [EXPLICIT]",pending,,,,,
mcp-creator,"[EXPLICIT] This skill should be used when the user asks to ""configure an MCP server"", ""connect Claude to [EXPLICIT] an external tool"", ""set up a database MCP"", ""add an API integration via MCP"", or ""list MCP [EXPLICIT] servers"". Also triggers on mentions of Model Context Protocol, stdio transport, MCP JSON config, [EXPLICIT] or remote tool connections. Use this skill even if the user only wants to check existing MCP [EXPLICIT] configuration — the full setup and validation workflow applies. [EXPLICIT]",pending,,,,,
meeting-notes,"Triggers on ""meeting notes"", ""meeting minutes"", ""acta de reunion"", ""notas de la reunion"". Produces structured meeting minutes with attendees, agenda, discussion summary, decisions, and action items with owners and due dates. Output: markdown document plus optional branded HTML version. [EXPLICIT]",pending,,,,,
mermaid-diagramming,"This skill should be used when the user asks to ""create diagrams"", ""generate Mermaid"", visualize architecture"", ""diagram flows"", ""draw a sequence diagram"", ""create a C4 diagram"", add visual diagrams"", or mentions diagramming, visualization, flowcharts, sequence diagrams, Mermaid syntax, architecture diagrams, or visual documentation. Use this skill to embed precise, syntactically valid Mermaid diagrams in any discovery deliverable. [EXPLICIT]",pending,,,,,
meta-orchestration-updater,"Auto-updates orchestration state. Syncs context.json, score-history.json, skills_index.json. Triggers dashboard regeneration. [EXPLICIT]",pending,,,,,
meta-skill-creator,"Create new 10x skills using the skill-forge protocol. Loads reference sub-repo, applies Trinity (Alfa-Atoms-Beta), validates with 10/10 rubric. [EXPLICIT]",pending,,,,,
meta-skill-deployer,"Auto-deploy skills to a target project. Copies skill directories, updates project CLAUDE.md, registers in skills_index.json. [EXPLICIT]",pending,,,,,
meta-skill-indexer,Regenerates skills_index.json by scanning all SKILL.md files. Extracts frontmatter metadata for BM25 search. [EXPLICIT],pending,,,,,
meta-skill-reviewer,"Audit existing skills against the 10x rubric. Checks structural integrity, cognitive density, operational safety. Produces score report. [EXPLICIT]",pending,,,,,
meta-skill-searcher,"BM25 search over the skills catalog. Finds relevant skills by keyword, domain, or capability. Uses skills_index.json. [EXPLICIT]",pending,,,,,
metrics-instrumentation,"Code-level metrics, custom dimensions, event parameter design. [EXPLICIT]",pending,,,,,
micro-interactions,"Button states, loading indicators, success feedback, hover effects. [EXPLICIT]",pending,,,,,
microcopy-writing,"Button labels, tooltips, empty states, confirmation dialogs, placeholders. [EXPLICIT]",pending,,,,,
migration-planning,"Plans technology and data migrations using strangler fig pattern, parallel run strategies, data migration pipelines, and rollback plans. Covers legacy system decomposition and incremental modernization. [EXPLICIT]",pending,,,,,
mobile-architecture,"This skill should be used when the user asks to ""design mobile architecture"", ""choose between native and cross-platform"", ""implement offline-first"", ""plan mobile CI/CD"", or ""optimize app performance"". Also triggers on mentions of Flutter, React Native, KMP, MVVM, SwiftUI, Jetpack Compose, or app store deployment. Use this skill even if the user only asks about one mobile concern like state management — the full platform strategy context is always relevant. [EXPLICIT]",pending,,,,,
mobile-assessment,"This skill should be used when the user asks to ""assess the mobile app"", ""audit app health"", review app dependencies"", ""check app store compliance"", or ""measure app performance"". Also triggers on mentions of crash rate, ANR, app size, cold start time, or mobile tech debt. Use this skill even if the user only asks about a single metric like crash rate — the full health assessment context ensures no blind spots. [EXPLICIT]",pending,,,,,
mobile-patterns,"Bottom sheets, pull-to-refresh, swipe actions, FAB, gesture navigation. [EXPLICIT]",pending,,,,,
modal-dialog-patterns,"Implement accessible modal and dialog patterns using the HTML dialog element, focus trapping, keyboard navigation, and ARIA attributes. [EXPLICIT]",pending,,,,,
monitoring-alerting,"Firebase Crashlytics, Performance Monitoring, Cloud Logging, Cloud Monitoring alerts, and uptime checks",pending,,,,,
monitoring-setup,"Application monitoring, health checks, uptime tracking, alerting integration.",pending,,,,,
motion-design,"Page transitions, scroll-triggered animations, parallax, performance. [EXPLICIT]",pending,,,,,
multi-model-routing,"Model selection by task complexity, cost optimization, fallback chains. [EXPLICIT]",pending,,,,,
naming-and-slugging,"This skill should be used when the user asks to ""generate a slug"", ""rename files to kebab-case"", audit naming conventions"", ""clean up filenames"", or ""validate a name"". Also triggers on mentions of slug generation, kebab-case, filename linting, registry audit, or naming patterns. Use this skill even if the user only has a single file to rename — the full naming protocol ensures consistency across the project. [EXPLICIT]",pending,,,,,
navigation-patterns,"Implement responsive navigation patterns including mobile hamburger menus, mega menus, breadcrumbs, tab navigation, and sidebar layouts. [EXPLICIT]",pending,,,,,
newsletter-design,"Newsletter strategy, content structure, engagement metrics, send optimization. [EXPLICIT]",pending,,,,,
node-api-builder,Node.js/Express API for Cloud Functions or Hostinger Node.js hosting. Middleware chain. Error handling. [EXPLICIT],pending,,,,,
node-development,"Node.js development patterns including streams, ESM modules, error handling, process management, and production-ready server configuration. [EXPLICIT]",pending,,,,,
notification-handler,"System notification management, progress updates, alert routing. [EXPLICIT]",pending,,,,,
notification-service,"FCM push notifications (topics, data messages). Email via SendGrid/Mailgun. In-app notifications via Firestore. [EXPLICIT]",pending,,,,,
notification-ux,"Toast patterns, badge counts, notification center, priority ranking. [EXPLICIT]",pending,,,,,
oauth-social-login,"Google Sign-In, Facebook Login, GitHub OAuth, Apple Sign-In. Provider linking. Account conflict handling. [EXPLICIT]",pending,,,,,
observability,"This skill should be used when the user asks to ""design observability"", ""set up monitoring"", implement tracing"", ""configure alerting"", or ""define SLOs"". Also triggers on mentions of OpenTelemetry, Prometheus, Grafana, ELK, correlation IDs, burn rate, or runbooks. Use this skill even if the user only asks about one pillar like logging — the full three-pillar observability context is always relevant for production systems. [EXPLICIT]",pending,,,,,
office-workflow-runner,"Orchestrates multi-skill office workflows — chains meeting-notes → follow-up → calendar, inventory → sales → reports, and other common office pipelines. [EXPLICIT]",pending,,,,,
okr-design,"OKR framework, alignment cascading, progress tracking, scoring. [EXPLICIT]",pending,,,,,
onboarding-playbook,"[EXPLICIT] Developer and team onboarding program design, knowledge transfer framework, and ramp-up metrics [EXPLICIT] definition. Use when the user asks to ""design onboarding program"", ""create onboarding playbook"", [EXPLICIT] plan knowledge transfer"", or mentions onboarding checklist, 30-60-90 plan, ramp-up metrics, [EXPLICIT] or knowledge map. [EXPLICIT]",pending,,,,,
onboarding-ux,"User onboarding flows, activation metrics, time-to-value optimization. [EXPLICIT]",pending,,,,,
open-claude-security,"This skill should be used when the user asks to ""design secure Claude Code environment"", harden Claude Code configuration"", ""audit Claude Code security"", ""secure MCP servers"", review CLAUDE.md for injection"", ""design agent permission model"", ""secure OpenClaw deployment"", ""isolate agent tools"", or mentions Claude Code security, OpenClaw isolation, MCP authentication, hook security, prompt injection defense, agent isolation, subagent security, or agent team boundaries. Produces comprehensive security architecture for Claude Code and OpenClaw deployments covering threat modeling, injection defense, permission design, MCP transport security, multi-agent isolation, container isolation, and audit trails. Use this skill whenever Claude Code or OpenClaw security posture needs to be designed or evaluated, even if they don't explicitly ask for open-claude-security"". [EXPLICIT]",pending,,,,,
open-claw-builder,"Builds production-grade tool-calling AI agents with TypeScript on open LLM stacks (Groq, OpenRouter, Ollama). [EXPLICIT] Activates when the user says ""build an agent"", ""create a bot"", ""scaffold a Telegram bot"", make a Discord agent"", or ""set up an HTTP agent"". Also triggers on mentions of tool-calling, open LLM stack, Groq agent, or OpenRouter bot. Use this skill even if the user only has a vague idea — it interviews for missing details. [EXPLICIT]",pending,,,,,
openclaw-isolation,"This skill should be used when the user asks to ""isolate OpenClaw in Docker"", containerize the agent"", ""set up network isolation"", ""sandbox OpenClaw"", restrict container egress"", or mentions Docker security, container isolation, network policies, or agent sandboxing. Implements Docker container security, network isolation, resource limits, and filesystem restrictions for OpenClaw and Claude Code deployments. Use this skill whenever container-level isolation needs to be implemented, even if they don't explicitly ask for openclaw-isolation"". [EXPLICIT]",pending,,,,,
openclaw-personal-deploy,"This skill should be used when the user asks to ""deploy OpenClaw for personal use"", set up a secure personal agent"", ""create my own Claude agent"", ""deploy isolated OpenClaw"", ""set up personal AI assistant"", or mentions personal OpenClaw deployment, secure agent setup, private AI assistant, or self-hosted agent. Executes the complete deployment of a secure, isolated OpenClaw for personal use with hardened defaults, Docker isolation, tool authorization, and audit logging. Use this skill whenever a personal OpenClaw deployment is needed, even if they don't explicitly ask for openclaw-personal-deploy"". [EXPLICIT]",pending,,,,,
openclaw-tool-auth,"This skill should be used when the user asks to ""control agent tool access"", implement tool authorization"", ""gate Bash commands"", ""restrict MCP access"", authenticate gateway messages"", ""implement PreToolUse hooks"", or mentions tool authorization, command filtering, gateway auth, API scope, or tool-level security. Implements per-tool authorization hooks, gateway authentication, command blocklists, and MCP scope management for OpenClaw and Claude Code deployments. Use this skill whenever tool-level access controls need to be implemented, even if they don't explicitly ask for ""openclaw-tool-auth"". [EXPLICIT]",pending,,,,,
output-contract-enforcer,"Validate generated outputs against declared contracts for format, required sections, required fields, evidence tags, naming conventions, machine-readable validation packets, and repair suggestions. Use after skill output generation, before gate evaluation, for `/jm:verify`, or when validating an artifact against its output contract. [EXPLICIT]",dod-complete,2026-06-05,docs/audits/skills/output-contract-enforcer-review.md,P1,completed-output-contract-enforcer-dod,"Closed DoD with assets manifest, contract rules, evidence tag policy, validation packet schema, deterministic output validator, fixture-backed script checks, targeted eval coverage, review doc, and per-skill DoD evidence."
output-engineering,"Ghost menu system and multi-format production pipeline — converts markdown source of truth into HTML, DOCX, PPTX, XLSX, and PDF outputs while preserving content integrity and Neo-Swiss brand compliance. Use when producing format conversions, managing the ghost menu workflow, or orchestrating multi-format delivery packages.",pending,,,,,
parallel-workflow,"Sequential-first execution with controlled parallelism. WIP limit: 3 agents max. [EXPLICIT] Parallel only when plan has [PARALLEL-OK] tags, zero dependencies, forward-only. [EXPLICIT] Git worktrees, contract-first integration, atomic mergeable units. [EXPLICIT]",pending,,,,,
partnership-strategy,"Partner identification, co-marketing programs, referral system design. [EXPLICIT]",pending,,,,,
payment-integration,"Integrate payment processing with Stripe Checkout, PayPal, subscription billing, webhook handling, and PCI compliance considerations. [EXPLICIT]",pending,,,,,
penetration-testing-guide,OWASP Top 10 checklist for Firebase apps. Firestore rules audit. Auth flow testing. Functions input validation. [EXPLICIT],pending,,,,,
performance-architecture,"Designs performance optimization strategies targeting Core Web Vitals (LCP, INP, CLS), lazy loading, code splitting, image optimization, and bundle size reduction for fast web experiences. [EXPLICIT]",pending,,,,,
performance-engineering,"Produces performance assessments covering load testing, capacity planning, bottleneck analysis, caching, CDN, and SLAs. [EXPLICIT] Activates when the user says ""analyze performance"", ""design load tests"", ""plan capacity"", ""optimize caching"", or ""define SLAs"". Also triggers on mentions of latency, throughput, p95, saturation, cache hit ratio, or edge compute. [EXPLICIT] Use this skill even if the user only mentions a vague slowness concern — it diagnoses and structures the full assessment. [EXPLICIT]",pending,,,,,
performance-testing,"Measure and optimize web performance with Lighthouse CI, WebPageTest, bundle analysis, and Core Web Vitals monitoring. [EXPLICIT]",pending,,,,,
permission-fast-path,Auto-approve read-only operations to reduce LLM overhead. [EXPLICIT],pending,,,,,
personal-branding,"Triggers on ""personal brand"", ""brand strategy for me"", ""how to position myself"", ""marca personal"". Builds a complete personal brand strategy including positioning, narrative architecture, platform selection, visual identity guidelines, and content pillars. Output: brand strategy document plus action plan in markdown. [EXPLICIT]",pending,,,,,
pipeline-governance,Enforce phase gates (G0-G3) and quality checkpoints between pipeline stages.,pending,,,,,
pitch-deck,"Triggers on ""pitch deck"", ""investor deck"", ""presentation slides"", ""crear presentacion"". Generates a self-contained HTML slide deck with JM Labs brand identity following the standard pitch sequence Cover-Problem-Solution-Market-Model-Team-Ask. Output: single HTML file with slide navigation, bilingual support, and print-ready styles. [EXPLICIT]",pending,,,,,
plan-architecture,"Generate plugin architecture plan with agent roles, skill-movement mapping, hook strategy, and command routing. [EXPLICIT]",pending,,,,,
plan-moat-strategy,"Design MOAT asset strategy per skill: which subdirectories needed, what content they contain, naming conventions. [EXPLICIT]",pending,,,,,
plugin-builder,"Builds complete Claude Code plugins from scratch — scaffolds plugin.json, CLAUDE.md, commands/, agents/, skills/, hooks/, scripts/, settings.json. Activates when the user says ""create a plugin"", ""scaffold a plugin"", build a new plugin"", ""initialize plugin structure"", or ""set up a plugin project"". Also triggers on mentions of plugin creation, plugin scaffolding, or Claude Code extension packaging. Use this skill even if the user only names the plugin — it interviews for missing details. [EXPLICIT]",pending,,,,,
plugin-reload,"Deploys, validates, and reloads Claude Code plugins from local development. Activates when the user says ""reload plugins"", ""deploy plugin"", ""sync plugins"", update local plugins"", or ""verify plugin structure"". Also triggers on mentions of plugin validation, plugin deployment, or post-change verification. Use this skill even if the user just says something broke after editing a plugin — it diagnoses structure issues.",pending,,,,,
poc-lab,"[EXPLICIT] Proof of concept design and execution framework, success criteria definition, and evaluation [EXPLICIT] methodology. Use when the user asks to ""design a PoC"", ""plan a proof of concept"", ""define PoC [EXPLICIT] success criteria"", or mentions PoC charter, evaluation framework, spike design, or prototype [EXPLICIT] planning. [EXPLICIT]",pending,,,,,
podcast-prep,"Episode planning, guest research, question frameworks, show notes. [EXPLICIT]",pending,,,,,
portfolio-sites,"Build portfolio and showcase websites with image galleries, case studies, smooth animations, and contact forms. Covers personal branding and presentation. [EXPLICIT]",pending,,,,,
post-tool-use-validator,"Validate tool outputs: lint check, evidence tags, quality gates. [EXPLICIT]",pending,,,,,
pre-compact-context,"Context preservation before compression, priority-based retention. [EXPLICIT]",pending,,,,,
pre-tool-use-guard,Block dangerous commands before execution using exit code 2 pattern. [EXPLICIT],pending,,,,,
presentation-design,"Slide deck patterns, visual storytelling, Minto pyramid for slides. [EXPLICIT]",pending,,,,,
press-release,"Inverted pyramid, quotes, boilerplate, distribution strategy. [EXPLICIT]",pending,,,,,
pricing-strategy,"Pricing page design, anchoring, tier structure, value-based framing. [EXPLICIT]",pending,,,,,
print-stylesheet,"Create print-optimized stylesheets with @media print, PDF-friendly layouts, page break control, and content visibility management for printing. [EXPLICIT]",pending,,,,,
privacy-compliance,"GDPR consent banner, data export, right to deletion. CCPA. Cookie policy. Firebase data deletion pipeline. [EXPLICIT]",pending,,,,,
product-roadmapping,"Creates strategic product roadmaps with prioritized backlogs, value stream alignment, and release planning. Uses frameworks like RICE, MoSCoW, and Kano to make defensible prioritization decisions. [EXPLICIT]",pending,,,,,
product-strategy,Product vision and roadmap. Feature prioritization (MoSCoW/RICE). Value stream mapping. Google ecosystem positioning. [EXPLICIT],pending,,,,,
progress-tracker,"Triggers on ""seguimiento de avance"", ""progress report"", ""status update"", ""informe de progreso"", track milestones"", ""weekly report"", ""reporte semanal"", ""project dashboard"", ""create progress document"". Creates branded progress tracking documents — HTML dashboard, XLSX tracker, or markdown report. JM Labs dark brand system. Bilingual ES/EN. [EXPLICIT]",pending,,,,,
project-charter,"Triggers on ""project charter"", ""project initiation"", ""acta de constitucion"", ""kickoff document"". Generates formal project initiation documents with business case, scope, stakeholders, milestones, budget, risks, and success criteria. Output: branded HTML charter or markdown. [EXPLICIT]",pending,,,,,
project-program-management,"Provides PMO governance backbone — portfolio tracking, phase gate management, resource orchestration, dependency control, and proposal QA validation across the entire discovery pipeline. Activates when the user says ""track the discovery"", ""manage the portfolio"", ""validate the proposal"", run governance check"", or ""coordinate resources"". Also triggers on mentions of PMO, program management, phase gates, proposal readiness, or cross-phase dependency management. Use this skill even if the user only asks about project status — it activates the full governance layer. [EXPLICIT]",pending,,,,,
prompt-creator,"Generates deterministic prompt files for agentic ecosystems using the canonical prompt-type matrix, including meta prompts, system-user pairs, handoffs, committee deliberation, synthesis, validation, fallback, and redirects for agent constitutions and workflow steps. Enforces source-agent evidence, no-invention rules, prompt type matrix, placeholder validation, and script-backed artifact checks. [EXPLICIT]",dod-complete,2026-06-05,docs/audits/skills/prompt-creator-review.md,P1,completed-prompt-creator-dod,"Multiagent hardening pass added assets, prompt type matrix, deterministic prompt artifact validator, fixture-backed script checks, DoD eval cases, examples, review doc, and ledger closure."
prompt-engineering,"Design, evaluate, and optimize LLM instruction packages with deterministic pattern selection, source-grounded context, structured output contracts, guardrails, adversarial test cases, and script-backed evaluation packets. Use for prompt engineering, system instruction design, few-shot examples, prompt optimization, prompt evaluation, guardrails, meta-prompting, or prompt design. [EXPLICIT]",dod-complete,2026-06-05,docs/audits/skills/prompt-engineering-review.md,P1,completed-prompt-engineering-dod,"Closed DoD with assets manifest, pattern decision matrix, deterministic packet validator, fixture-backed script checks, targeted eval coverage, review doc, and per-skill DoD evidence."
